symbol,alert_no,date,grade,alert_price,latest_date,latest_close,return_pct,signal
APP,1,2026-05-18,B+,492.3800,2026-05-27,567.8300,15.32,"单纯回踩 MA20"
APP,2,2026-05-20,B+,482.2800,2026-05-27,567.8300,17.74,"单纯回踩 MA10"
APP,3,2026-05-26,A,514.2400,2026-05-27,567.8300,10.42,"交叉后上沿加仓区 / MA5>10(3w)"
ASML,1,2026-05-18,A,1472.3900,2026-05-27,1597.8700,8.52,"交叉后上沿加仓区 / MA5>10(4w)"
VST,1,2026-05-22,B+,156.2700,2026-05-27,160.1500,2.48,"单纯回踩 MA20"
VST,2,2026-05-26,A,164.5600,2026-05-27,160.1500,-2.68,"交叉后上沿加仓区 / MA5>10(3w)"
CCJ,1,2026-05-12,A,116.9300,2026-05-27,107.4400,-8.12,"交叉后上沿加仓区 / MA5>10(3w)"
CCJ,2,2026-05-18,A,105.1400,2026-05-27,107.4400,2.19,"单纯回踩 MA30"
CCJ,3,2026-05-26,A,108.1700,2026-05-27,107.4400,-0.67,"单纯回踩 MA10"
CRCL,1,2026-05-26,B+,104.1700,2026-05-27,102.6400,-1.47,"交叉后上沿加仓区 / MA5>10(2w), MA20>30(1w)"
CEG,1,2026-05-22,B+,294.0700,2026-05-27,288.6800,-1.83,"单纯回踩 MA20"
RACE,1,2026-05-20,B+,341.8100,2026-05-27,333.2200,-2.51,"单纯回踩 MA20"
LNG,1,2026-05-20,B+,243.6600,2026-05-27,230.9700,-5.21,"单纯回踩 MA20"
AGRO,1,2026-05-18,B+,13.4600,2026-05-27,12.5800,-6.54,"交叉后上沿加仓区 / MA30>60(4w)"
AGRO,2,2026-05-22,B+,12.8100,2026-05-27,12.5800,-1.80,"单纯回踩 MA5"
